"doc_id","file_path","title","source_url","retrieved_at","document_version","license_or_permission","cleaning_version"
"uit-news-chao-mung-pgsts-chung-tse-michael-wu-den-voi-truong-dai-hoc-cong-nghe-thong-tin-mo-rong-ket-noi-hoc-thuat-voi-dai-hoc-quoc-gia-dai-loan","data/standardized/news/chao-mung-pgsts-chung-tse-michael-wu-den-voi-truong-dai-hoc-cong-nghe-thong-tin-mo-rong-ket-noi-hoc-thuat-voi-dai-hoc-quoc-gia-dai-loan.md","Chào mừng PGS.TS. Chung-Tse Michael Wu đến với Trường Đại học Công nghệ Thông tin: Mở rộng kết nối học thuật với Đại học Quốc gia Đài Loan","https://www.uit.edu.vn/bai-viet/chao-mung-pgsts-chung-tse-michael-wu-den-voi-truong-dai-hoc-cong-nghe-thong-tin-mo-rong-ket-noi-hoc-thuat-voi-dai-hoc-quoc-gia-dai-loan","2026-08-04","not-stated","public-page","markitdown-v1"
"uit-news-dang-bo-truong-dai-hoc-cong-nghe-thong-tin-to-chuc-hoi-nghi-dang-vien-lan-1-nam-2026","data/standardized/news/dang-bo-truong-dai-hoc-cong-nghe-thong-tin-to-chuc-hoi-nghi-dang-vien-lan-1-nam-2026.md","Đảng bộ Trường Đại học Công nghệ Thông tin tổ chức Hội nghị Đảng viên lần 1 năm 2026","https://www.uit.edu.vn/bai-viet/dang-bo-truong-dai-hoc-cong-nghe-thong-tin-to-chuc-hoi-nghi-dang-vien-lan-1-nam-2026","2026-08-04","not-stated","public-page","markitdown-v1"
"uit-news-tu-uit-den-singapore-va-indonesia-18-ngay-de-nhin-the-gioi-rong-hon","data/standardized/news/tu-uit-den-singapore-va-indonesia-18-ngay-de-nhin-the-gioi-rong-hon.md","TỪ UIT ĐẾN SINGAPORE VÀ INDONESIA: 18 NGÀY ĐỂ NHÌN THẾ GIỚI RỘNG HƠN","https://www.uit.edu.vn/bai-viet/tu-uit-den-singapore-va-indonesia-18-ngay-de-nhin-the-gioi-rong-hon","2026-08-04","not-stated","public-page","markitdown-v1"
"uit-news-uit-mo-rong-ket-noi-hoc-thuat-trong-linh-vuc-ai-robot-va-nong-nghiep-thong-minh","data/standardized/news/uit-mo-rong-ket-noi-hoc-thuat-trong-linh-vuc-ai-robot-va-nong-nghiep-thong-minh.md","UIT mở rộng kết nối học thuật trong lĩnh vực AI, robot và nông nghiệp thông minh","https://www.uit.edu.vn/bai-viet/uit-mo-rong-ket-noi-hoc-thuat-trong-linh-vuc-ai-robot-va-nong-nghiep-thong-minh","2026-08-04","not-stated","public-page","markitdown-v1"
"uit-news-uit-to-chuc-lop-tap-huan-ung-dung-ai-danh-cho-chuyen-vien-nam-2026-nang-cao-nang-luc-so-toi-uu-hieu-qua-cong-viec","data/standardized/news/uit-to-chuc-lop-tap-huan-ung-dung-ai-danh-cho-chuyen-vien-nam-2026-nang-cao-nang-luc-so-toi-uu-hieu-qua-cong-viec.md","UIT tổ chức Lớp tập huấn “Ứng dụng AI dành cho Chuyên viên” năm 2026: Nâng cao năng lực số, tối ưu hiệu quả công việc","https://www.uit.edu.vn/bai-viet/uit-to-chuc-lop-tap-huan-ung-dung-ai-danh-cho-chuyen-vien-nam-2026-nang-cao-nang-luc-so-toi-uu-hieu-qua-cong-viec","2026-08-04","not-stated","public-page","markitdown-v1"
